resource,missingness_bin,n_columns,fraction
ARC-MOF,0%,928,0.8205128205128205
ARC-MOF,0–5%,193,0.17064544650751548
ARC-MOF,5–25%,10,0.008841732979664015
ARC-MOF,25–75%,0,0.0
ARC-MOF,>75%,0,0.0
CSD-derived context,0%,59,0.7763157894736842
CSD-derived context,0–5%,5,0.06578947368421052
CSD-derived context,5–25%,4,0.05263157894736842
CSD-derived context,25–75%,4,0.05263157894736842
CSD-derived context,>75%,4,0.05263157894736842
CoRE MOF 2024,0%,2701,0.7164456233421751
CoRE MOF 2024,0–5%,18,0.004774535809018567
CoRE MOF 2024,5–25%,23,0.00610079575596817
CoRE MOF 2024,25–75%,8,0.002122015915119363
CoRE MOF 2024,>75%,1020,0.27055702917771884
CoRE MOF 2025 metadata,0%,9084,0.9814174589455489
CoRE MOF 2025 metadata,0–5%,0,0.0
CoRE MOF 2025 metadata,5–25%,172,0.018582541054451167
CoRE MOF 2025 metadata,25–75%,0,0.0
CoRE MOF 2025 metadata,>75%,0,0.0
MOSAEC-DB,0%,5742,0.9905123339658444
MOSAEC-DB,0–5%,26,0.004485078488873555
MOSAEC-DB,5–25%,2,0.0003450060376056581
MOSAEC-DB,25–75%,20,0.003450060376056581
MOSAEC-DB,>75%,7,0.0012075211316198034
QMOF,0%,53,0.4649122807017544
QMOF,0–5%,0,0.0
QMOF,5–25%,4,0.03508771929824561
QMOF,25–75%,57,0.5
QMOF,>75%,0,0.0
