source_table,target_column,feature_source,descriptor_family,model,split_type,task,gas,target_property,target_family,n_repeats,n_train,n_test,n_numeric_features,n_categorical_features,mean_rmse,sd_rmse,mean_mae,mean_r2,sd_r2,mean_spearman,mean_top_1pct_recovery,mean_top_5pct_recovery,mean_top_10pct_recovery,mean_ndcg_10pct
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,S(g1),descriptor_joined,RDF,extratrees,descriptor_grouped,post_combustion_capture,CO2,selectivity,selectivity,5,21303.0,5326.0,500,0,25.190827844192828,2.435026443162706,7.641127104384009,0.4124560328782795,0.2476257490050106,0.7734482146959232,0.4962962962962963,0.5887640449438203,0.623639774859287,0.7256207686848931
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,S(g1),descriptor_joined,RDF,extratrees,random,post_combustion_capture,CO2,selectivity,selectivity,5,21303.0,5326.0,500,0,24.62606564895057,2.1668361853114333,6.493513939756525,0.5213416342333976,0.0304972188747659,0.8523984963861441,0.5407407407407407,0.6254681647940075,0.6724202626641651,0.7798363226545761
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,mmol/g,descriptor_joined,RDF,extratrees,descriptor_grouped,post_combustion_capture,CO2,uptake,uptake_or_loading,5,21303.0,5326.0,500,0,0.1667001210563766,0.0156989783750578,0.0645390040666526,0.485534471626846,0.2194807723794435,0.7480863720280355,0.4666666666666667,0.5955056179775281,0.6476547842401501,0.8042045295643956
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,mmol/g,descriptor_joined,RDF,extratrees,random,post_combustion_capture,CO2,uptake,uptake_or_loading,5,21303.0,5326.0,500,0,0.1465833694869787,0.0084649739808462,0.052576072879737,0.6320597927884896,0.0298554760536869,0.8503948306611768,0.5592592592592592,0.6726591760299625,0.7298311444652908,0.8510049415606356
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,molc/uc,descriptor_joined,RDF,extratrees,descriptor_grouped,post_combustion_capture,CO2,loading,uptake_or_loading,5,21303.0,5326.0,500,0,0.2918567457441781,0.1582056558158577,0.0958921294317454,0.499985629068041,0.2001738551092184,0.8269351537237775,0.5296296296296296,0.5797752808988764,0.6202626641651031,0.801547579574548
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,molc/uc,descriptor_joined,RDF,extratrees,random,post_combustion_capture,CO2,loading,uptake_or_loading,5,21303.0,5326.0,500,0,0.2441517399315428,0.0294052122029838,0.0732416289862471,0.5942082528903398,0.0715364311839013,0.8599109806931674,0.5592592592592592,0.6554307116104869,0.6694183864915572,0.8217836493868689
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,v/v,descriptor_joined,RDF,extratrees,descriptor_grouped,post_combustion_capture,CO2,uptake,uptake_or_loading,5,21303.0,5326.0,500,0,4.084452453484671,0.4264750109846315,1.429083229967545,0.5125514179495936,0.2755467002697061,0.8503104797378211,0.5296296296296296,0.6284644194756555,0.6878048780487804,0.794498837574712
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,v/v,descriptor_joined,RDF,extratrees,random,post_combustion_capture,CO2,uptake,uptake_or_loading,5,21303.0,5326.0,500,0,3.8491590367017614,0.2487495954293473,1.2198168022411529,0.6396248217439263,0.0254638876924608,0.9135707030361268,0.5777777777777777,0.6831460674157304,0.7377110694183864,0.8488194904192881
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,wt%,descriptor_joined,RDF,extratrees,descriptor_grouped,post_combustion_capture,CO2,uptake,uptake_or_loading,5,21303.0,5326.0,500,0,0.7340250993480584,0.0726615318545463,0.2825547792371281,0.4844203022350313,0.2234646934060101,0.7517424733861306,0.4777777777777777,0.6044943820224719,0.6540337711069418,0.8047233503064968
ARC-MOF::post_comb_vsa_co2.csv__RDF__rdfs.csv,wt%,descriptor_joined,RDF,extratrees,random,post_combustion_capture,CO2,uptake,uptake_or_loading,5,21303.0,5326.0,500,0,0.6446787784768188,0.0357569394841889,0.2315157396310927,0.6325922057698188,0.0279948113330826,0.8498610976347931,0.5703703703703704,0.6734082397003746,0.7268292682926829,0.8525305640824566
