file_path,relative_path,file_name,extension,resource,resource_subtype,role,size_bytes,size_mb,modified_time,path,read_status,requested_nrows,separator,read_rows,read_columns,read_seconds,true_rows,true_rows_method,profile_is_full_file,n_columns,n_profiled_rows,n_numeric_columns,n_categorical_columns,n_identifier_columns,n_target_like_columns,n_descriptor_like_columns,n_nested_value_columns,missing_fraction_overall,all_missing_columns,constant_columns,identifier_candidates,target_candidates,group_candidates,read_error
<DATA_ROOT>\data_raw\mosaec_db\database\mosaec_db.csv,data_raw\mosaec_db\database\mosaec_db.csv,mosaec_db.csv,.csv,MOSAEC-DB,MOSAEC chemistry-validation metadata,general_metadata,57344406,54.68788719177246,2026-05-30T08:47:22,<DATA_ROOT>\data_raw\mosaec_db\database\mosaec_db.csv,ok,50000,",",50000.0,78.0,1.835,124469.0,line_count,False,78,50000,64,14,9,0,55,0,0.10141179487179487,1,15,cif;refcode;metal_id;open_metal_id;void_fraction_H2;void_fraction_probe-occupiable_H2;free_solv_id;bound_solv_id;counterion_id,,refcode;metal_id;open_metal_site;open_metal_id;topology_all;topology_single;topology_stndard;flag_metal_counterion,
<DATA_ROOT>\data_raw\mosaec_db\database\mosaec_db.xlsx,data_raw\mosaec_db\database\mosaec_db.xlsx,mosaec_db.xlsx,.xlsx,MOSAEC-DB,MOSAEC chemistry-validation metadata,general_metadata,35662257,34.010178565979004,2026-05-30T08:47:20,<DATA_ROOT>\data_raw\mosaec_db\database\mosaec_db.xlsx,ok,50000,,50000.0,78.0,45.423,,unknown,False,78,50000,64,14,9,0,55,0,0.10141179487179487,1,15,cif;refcode;metal_id;open_metal_id;void_fraction_H2;void_fraction_probe-occupiable_H2;free_solv_id;bound_solv_id;counterion_id,,refcode;metal_id;open_metal_site;open_metal_id;topology_all;topology_single;topology_stndard;flag_metal_counterion,
<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\PHOM_mosaec-db.csv,data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\PHOM_mosaec-db.csv,PHOM_mosaec-db.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,2088666729,1991.9078149795532,2025-07-04T17:26:04,<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\PHOM_mosaec-db.csv,ok,50000,",",50000.0,1441.0,45.314,124467.0,line_count,False,1441,50000,1440,1,1,0,810,0,0.0,0,160,cif,,,
<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\APRDF_mosaec-db.csv,data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\APRDF_mosaec-db.csv,APRDF_mosaec-db.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,836532485,797.7795457839966,2025-07-04T17:26:00,<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\APRDF_mosaec-db.csv,ok,50000,",",50000.0,679.0,18.361,116681.0,line_count,False,679,50000,678,1,1,0,678,0,0.0,0,0,cif,,,
<DATA_ROOT>\data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-neutral-phom-20k.csv,data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-neutral-phom-20k.csv,diverse-neutral-phom-20k.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,334676930,319.1727924346924,2025-07-04T17:33:58,<DATA_ROOT>\data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-neutral-phom-20k.csv,ok,50000,",",20000.0,1443.0,11.194,20000.0,line_count,True,1443,20000,1442,1,1,0,812,0,0.0,0,161,filename,,,
<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\RAC_mosaec-db.csv,data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\RAC_mosaec-db.csv,RAC_mosaec-db.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,185571042,176.9743366241455,2025-07-04T17:26:00,<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\RAC_mosaec-db.csv,ok,50000,",",50000.0,177.0,4.143,111764.0,line_count,False,177,50000,176,1,1,0,176,0,0.0,0,28,cif,,,
<DATA_ROOT>\data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-charged-phom-3k.csv,data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-charged-phom-3k.csv,diverse-charged-phom-3k.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,49391351,47.10326290130615,2025-07-04T17:33:58,<DATA_ROOT>\data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-charged-phom-3k.csv,ok,50000,",",3000.0,1443.0,1.328,3000.0,line_count,True,1443,3000,1442,1,1,0,812,0,0.0,0,161,filename,,,
<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\GEOM_mosaec-db.csv,data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\GEOM_mosaec-db.csv,GEOM_mosaec-db.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,19965473,19.04055881500244,2025-07-04T17:26:00,<DATA_ROOT>\data_raw\mosaec_db\descriptors\extracted\descriptors\descriptors\GEOM_mosaec-db.csv,ok,50000,",",50000.0,24.0,0.486,124469.0,line_count,False,24,50000,23,1,1,0,19,0,0.0,0,0,cif,,,
<DATA_ROOT>\data_raw\mosaec_db\misc_data\extracted\misc_data\misc_data\PDD_duplicate_thresh0.15.csv,data_raw\mosaec_db\misc_data\extracted\misc_data\misc_data\PDD_duplicate_thresh0.15.csv,PDD_duplicate_thresh0.15.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,5907516,5.633846282958984,2025-07-04T17:31:22,<DATA_ROOT>\data_raw\mosaec_db\misc_data\extracted\misc_data\misc_data\PDD_duplicate_thresh0.15.csv,ok,50000,",",50000.0,4.0,0.158,124469.0,line_count,False,4,50000,3,1,1,0,1,0,0.25,1,3,cif,,,
<DATA_ROOT>\data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-neutral-geom-20k.csv,data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-neutral-geom-20k.csv,diverse-neutral-geom-20k.csv,.csv,MOSAEC-DB,MOSAEC descriptor/feature table,descriptor_matrix,3549892,3.3854408264160156,2025-07-04T17:33:58,<DATA_ROOT>\data_raw\mosaec_db\subsets\extracted\subsets\subsets\details_sampling\diverse-neutral-geom-20k.csv,ok,50000,",",20000.0,24.0,0.162,20000.0,line_count,True,24,20000,23,1,1,0,19,0,0.0,0,1,filename,,,
