source_table,target_column,model,split_type,repeat,n_train,n_test,n_numeric_features,n_categorical_features,rmse,mae,r2,spearman,top_1pct_recovery,top_5pct_recovery,top_10pct_recovery,ndcg_10pct,hgb_skipped_due_to_categorical_features,feature_source,target_family,feature_table,task,gas,target_property,target_unit,split_group_column,descriptor_family
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,0,48000,12000,5,0,0.23381967560979408,0.1778563551666667,-0.19015533243490035,,0.0,0.028333333333333332,0.085,0.36333831543301,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,0,48000,12000,5,0,0.12383567615831649,0.055856031552492386,0.6661640530314492,0.7553216104524715,0.05,0.23333333333333334,0.3358333333333333,0.6498831873712931,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,0,48000,12000,5,0,0.12331130163822573,0.055649422697920975,0.6689852825829325,0.7763122319497716,0.025,0.19666666666666666,0.29583333333333334,0.638632714095207,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,0,48000,12000,5,0,0.13188819694557014,0.06401913182476351,0.6213365377204867,0.7552328083983386,0.025,0.13166666666666665,0.235,0.6160776363308808,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,0,48000,12000,5,0,0.14483171666508332,0.07050453919810405,0.5433653153871527,0.7502102601278401,0.03333333333333333,0.13333333333333333,0.22916666666666666,0.6095377057945317,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,1,48000,12000,5,0,0.21814508952722078,0.1750503095,-0.19776577832409137,,0.008333333333333333,0.035,0.10333333333333333,0.38899833888346913,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,1,48000,12000,5,0,0.09928615569468974,0.05362189252317906,0.7518819218889916,0.7560977874108701,0.058333333333333334,0.21833333333333332,0.29833333333333334,0.6890082234440146,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,1,48000,12000,5,0,0.09895229856001583,0.05349791220947227,0.7535477476817024,0.7769509956001769,0.041666666666666664,0.19166666666666668,0.2833333333333333,0.6773619401636477,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,1,48000,12000,5,0,0.11219406956805125,0.06209445267583997,0.6831739956012202,0.7606978421399286,0.05,0.14333333333333334,0.24,0.6613432822935601,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,1,48000,12000,5,0,0.13331273530830767,0.0690478768332927,0.552673840336159,0.755744903336123,0.025,0.14,0.23333333333333334,0.6620949666259153,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,2,48000,12000,5,0,0.229649346490626,0.17819629225000003,-0.2181153299508085,,0.008333333333333333,0.04666666666666667,0.09333333333333334,0.3657201877100287,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,2,48000,12000,5,0,0.11306490795593659,0.05607445869754803,0.7047338589837784,0.7583814615438879,0.09166666666666666,0.21666666666666667,0.315,0.6670442436176341,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,2,48000,12000,5,0,0.11251786151729923,0.055855820230978875,0.7075841427563032,0.7783682073707862,0.03333333333333333,0.205,0.285,0.66156844073471,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,2,48000,12000,5,0,0.12823759463600526,0.06509877643957579,0.620170486124631,0.757461741175665,0.025,0.12666666666666668,0.22583333333333333,0.6306487337056548,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,2,48000,12000,5,0,0.14328178644488962,0.07167890396482414,0.5258235767752795,0.7539840788063564,0.041666666666666664,0.13333333333333333,0.22,0.6251651538878552,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,3,48000,12000,5,0,0.22281387419540027,0.17505595341666666,-0.1613408827150542,,0.008333333333333333,0.043333333333333335,0.10583333333333333,0.35849967330061,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,3,48000,12000,5,0,0.11230528421771813,0.054777264746946656,0.7049635748052638,0.7514085501185478,0.075,0.21833333333333332,0.3258333333333333,0.6706949153387598,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,3,48000,12000,5,0,0.11196665183141521,0.05480370527203354,0.7067401298897644,0.7754988242768662,0.008333333333333333,0.20333333333333334,0.29833333333333334,0.649310688150172,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,3,48000,12000,5,0,0.1274354036792922,0.06405036634331895,0.6201121070902467,0.7543791914892648,0.03333333333333333,0.125,0.24,0.6315023027784165,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,3,48000,12000,5,0,0.14412114025985676,0.07053385483381877,0.5141181976991298,0.7497404573142968,0.041666666666666664,0.13166666666666665,0.22916666666666666,0.6275783411391175,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,4,48000,12000,5,0,0.2198541012576164,0.17461228908333334,-0.15549724223087624,,0.0,0.043333333333333335,0.1075,0.37993202786888886,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,4,48000,12000,5,0,0.10832219405544913,0.05478265002729144,0.7194988370048674,0.7515348230195934,0.06666666666666667,0.22666666666666666,0.31416666666666665,0.6659673666893413,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,4,48000,12000,5,0,0.1081109026606239,0.05459768606191784,0.720592051178268,0.777210108801256,0.041666666666666664,0.20833333333333334,0.305,0.6609706836777102,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,4,48000,12000,5,0,0.11884525548269921,0.06313032136044905,0.6623525552803371,0.7543771085065477,0.041666666666666664,0.13333333333333333,0.2225,0.6436000533841472,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,4,48000,12000,5,0,0.13066203588236422,0.06933507117305114,0.5918699130296668,0.749251051573131,0.03333333333333333,0.09666666666666666,0.20833333333333334,0.6331724050956976,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,5,48000,12000,5,0,0.23164885853688194,0.17740912041666665,-0.2079170618838566,,0.008333333333333333,0.051666666666666666,0.09833333333333333,0.3757684719218538,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,5,48000,12000,5,0,0.11953972767427073,0.05503152342623264,0.6783368497705438,0.7513449995161938,0.075,0.2,0.305,0.6469807086695507,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,5,48000,12000,5,0,0.11905005861887631,0.05490589908612599,0.6809667016863747,0.7777831323661282,0.06666666666666667,0.2,0.28,0.6416448165846239,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,5,48000,12000,5,0,0.1310753472012177,0.06392129143595181,0.6132602428110532,0.7540766442339947,0.03333333333333333,0.13333333333333333,0.225,0.6166549804087644,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,5,48000,12000,5,0,0.14453871470484186,0.07101371696264869,0.5297322858460072,0.7480823682555009,0.016666666666666666,0.11166666666666666,0.21,0.6108836549455718,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,6,48000,12000,5,0,0.23376029333694948,0.17688877525,-0.18841311330768296,,0.016666666666666666,0.05333333333333334,0.11083333333333334,0.36367817816881126,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,6,48000,12000,5,0,0.12518675373237012,0.05603367640007071,0.6591661631230227,0.7514843013128046,0.1,0.21833333333333332,0.30083333333333334,0.6314563129832897,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,6,48000,12000,5,0,0.1246431076842786,0.055641825976315736,0.6621200001529086,0.7774415394865958,0.06666666666666667,0.20666666666666667,0.3016666666666667,0.6395253608300852,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,6,48000,12000,5,0,0.13410371049288608,0.06411159289625391,0.6088822399567649,0.7553369452968817,0.03333333333333333,0.13333333333333333,0.23166666666666666,0.6091396202108469,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,6,48000,12000,5,0,0.14681891706096326,0.07062466775936739,0.5311974331538648,0.7538710541946491,0.025,0.13,0.22666666666666666,0.6008967295469684,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,7,48000,12000,5,0,0.2408849142331309,0.17639651133333334,-0.1483813028604497,,0.008333333333333333,0.058333333333333334,0.09916666666666667,0.3638710936575001,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,7,48000,12000,5,0,0.1414172653015184,0.05538289940419338,0.6042036568674118,0.7570121140763962,0.09166666666666666,0.23166666666666666,0.3275,0.6227957301584452,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,7,48000,12000,5,0,0.1409266909544709,0.055031197039089916,0.6069449169260183,0.7788576234316995,0.06666666666666667,0.225,0.32916666666666666,0.6268919944473493,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,7,48000,12000,5,0,0.1504178333777782,0.06411673668191349,0.5522190993352508,0.7580295247893525,0.025,0.13166666666666665,0.24083333333333334,0.5916896045193364,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,7,48000,12000,5,0,0.1638330179194163,0.07117260169413714,0.4687856839334117,0.7516055380758183,0.025,0.12333333333333334,0.22333333333333333,0.579830509003824,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,8,48000,12000,5,0,0.2309051632284156,0.17645209908333329,-0.17883665808064309,,0.016666666666666666,0.055,0.0875,0.3547525234594948,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,8,48000,12000,5,0,0.12187014782436156,0.05480494767738043,0.6716167324260927,0.7548746315290927,0.125,0.22833333333333333,0.31916666666666665,0.6520505591320735,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
