resource,metal_family_primary,trust_regime_row,n,fraction
CSD-derived context,not_observable,uncertain_unobservable,25285,1.0
CoRE MOF 2024,Ag,validated_not_observable,151,1.0
CoRE MOF 2024,Al,validated_not_observable,70,1.0
CoRE MOF 2024,Au,validated_not_observable,2,1.0
CoRE MOF 2024,Bi,validated_not_observable,9,1.0
CoRE MOF 2024,Ca,validated_not_observable,3,1.0
CoRE MOF 2024,Cd,validated_not_observable,865,1.0
CoRE MOF 2024,Ce,validated_not_observable,101,1.0
CoRE MOF 2024,Co,validated_not_observable,841,1.0
CoRE MOF 2024,Cr,validated_not_observable,22,1.0
CoRE MOF 2024,Cu,validated_not_observable,993,1.0
CoRE MOF 2024,Fe,validated_not_observable,150,1.0
CoRE MOF 2024,Ga,validated_not_observable,24,1.0
CoRE MOF 2024,Hf,validated_not_observable,14,1.0
CoRE MOF 2024,In,validated_not_observable,152,1.0
CoRE MOF 2024,Ir,validated_not_observable,2,1.0
CoRE MOF 2024,La,validated_not_observable,103,1.0
CoRE MOF 2024,Mg,validated_not_observable,78,1.0
CoRE MOF 2024,Mn,validated_not_observable,256,1.0
CoRE MOF 2024,Mo,validated_not_observable,12,1.0
CoRE MOF 2024,Na,validated_not_observable,3,1.0
CoRE MOF 2024,Nb,validated_not_observable,1,1.0
CoRE MOF 2024,Ni,validated_not_observable,337,1.0
CoRE MOF 2024,Pb,validated_not_observable,15,1.0
CoRE MOF 2024,Pd,validated_not_observable,8,1.0
CoRE MOF 2024,Pt,validated_not_observable,4,1.0
CoRE MOF 2024,Rh,validated_not_observable,3,1.0
CoRE MOF 2024,Ru,validated_not_observable,10,1.0
CoRE MOF 2024,Sc,validated_not_observable,21,1.0
CoRE MOF 2024,Sn,validated_not_observable,1,1.0
CoRE MOF 2024,Ti,validated_not_observable,15,1.0
CoRE MOF 2024,V,validated_not_observable,42,1.0
CoRE MOF 2024,W,validated_not_observable,2,1.0
CoRE MOF 2024,Y,validated_not_observable,47,1.0
CoRE MOF 2024,Zn,validated_not_observable,1750,1.0
CoRE MOF 2024,Zr,validated_not_observable,129,1.0
CoRE MOF 2024,not_observable,validated_not_observable,21896,1.0
MOSAEC-DB,Ag,flagged_or_inconsistent,2323,0.22014783927217588
MOSAEC-DB,Ag,validated_not_observable,8229,0.7798521607278242
MOSAEC-DB,Al,flagged_or_inconsistent,60,0.1125703564727955
MOSAEC-DB,Al,validated_not_observable,473,0.8874296435272045
MOSAEC-DB,Au,flagged_or_inconsistent,79,0.0854978354978355
MOSAEC-DB,Au,validated_not_observable,845,0.9145021645021645
MOSAEC-DB,Ba,flagged_or_inconsistent,29,0.019230769230769232
MOSAEC-DB,Ba,validated_not_observable,1479,0.9807692307692307
MOSAEC-DB,Bi,flagged_or_inconsistent,53,0.07454289732770746
MOSAEC-DB,Bi,validated_not_observable,658,0.9254571026722925
MOSAEC-DB,Ca,flagged_or_inconsistent,159,0.06357457017193123
MOSAEC-DB,Ca,validated_not_observable,2342,0.9364254298280688
MOSAEC-DB,Cd,flagged_or_inconsistent,828,0.03656274838823633
MOSAEC-DB,Cd,validated_not_observable,21818,0.9634372516117636
MOSAEC-DB,Ce,flagged_or_inconsistent,59,0.03891820580474934
MOSAEC-DB,Ce,validated_not_observable,1457,0.9610817941952506
MOSAEC-DB,Co,flagged_or_inconsistent,924,0.048394699628135966
MOSAEC-DB,Co,validated_not_observable,18169,0.9516053003718641
MOSAEC-DB,Cr,flagged_or_inconsistent,67,0.11837455830388692
MOSAEC-DB,Cr,validated_not_observable,499,0.8816254416961131
MOSAEC-DB,Cu,flagged_or_inconsistent,2565,0.08116061258068599
MOSAEC-DB,Cu,validated_not_observable,29039,0.918839387419314
MOSAEC-DB,Fe,flagged_or_inconsistent,756,0.1496437054631829
MOSAEC-DB,Fe,validated_not_observable,4296,0.850356294536817
MOSAEC-DB,Ga,flagged_or_inconsistent,64,0.1833810888252149
MOSAEC-DB,Ga,validated_not_observable,285,0.8166189111747851
MOSAEC-DB,Hf,validated_not_observable,46,1.0
MOSAEC-DB,Hg,flagged_or_inconsistent,36,0.02121390689451974
MOSAEC-DB,Hg,validated_not_observable,1661,0.9787860931054803
MOSAEC-DB,In,flagged_or_inconsistent,110,0.15602836879432624
MOSAEC-DB,In,validated_not_observable,595,0.8439716312056738
MOSAEC-DB,Ir,flagged_or_inconsistent,7,0.14893617021276595
MOSAEC-DB,Ir,validated_not_observable,40,0.851063829787234
MOSAEC-DB,K,flagged_or_inconsistent,169,0.04185240217929668
MOSAEC-DB,K,validated_not_observable,3869,0.9581475978207034
MOSAEC-DB,La,flagged_or_inconsistent,111,0.05
MOSAEC-DB,La,validated_not_observable,2109,0.95
MOSAEC-DB,Li,flagged_or_inconsistent,124,0.046130952380952384
MOSAEC-DB,Li,validated_not_observable,2564,0.9538690476190477
MOSAEC-DB,Mg,flagged_or_inconsistent,116,0.08929946112394149
MOSAEC-DB,Mg,validated_not_observable,1183,0.9107005388760585
MOSAEC-DB,Mn,flagged_or_inconsistent,943,0.07756209902944564
MOSAEC-DB,Mn,validated_not_observable,11215,0.9224379009705543
MOSAEC-DB,Mo,flagged_or_inconsistent,189,0.1346153846153846
MOSAEC-DB,Mo,validated_not_observable,1215,0.8653846153846154
MOSAEC-DB,Na,flagged_or_inconsistent,226,0.043857946827091016
MOSAEC-DB,Na,validated_not_observable,4927,0.956142053172909
MOSAEC-DB,Nb,flagged_or_inconsistent,20,0.17857142857142858
MOSAEC-DB,Nb,validated_not_observable,92,0.8214285714285714
MOSAEC-DB,Ni,flagged_or_inconsistent,455,0.052298850574712646
